id,lat,lon,name
433,47.0123135,28.8365440,Strada Tighina
434,47.0113603,28.8351750,Strada Tighina
435,47.0225198,28.8322531,Piața Marea Adunare Națională
436,47.0216375,28.8337275,Strada Vlaicu Pârcălab
437,47.0195814,28.8363118,Strada Veronica Micle
438,47.0243507,28.8179257,Strada Mihail Kogălniceanu
439,47.0234546,28.8192808,Strada Sfatul Țării
440,47.0225006,28.8207529,Strada Mihail Kogălniceanu
441,47.0215047,28.8222920,Strada Nicolae Iorga
442,47.0205631,28.8237211,Strada Mihail Kogălniceanu
443,47.0186243,28.8267150,Strada Alexandr Pușkin
444,47.0176428,28.8282157,Strada Mihail Kogălniceanu
445,47.0158726,28.8309833,Strada Mihail Kogălniceanu
446,47.0106299,28.8393570,Strada Mihail Kogălniceanu
447,47.0118500,28.8426058,Strada Lev Tolstoi
448,47.0128481,28.8439957,Strada Lev Tolstoi
449,47.0310149,28.8170022,Strada 31 August 1989
450,47.0301091,28.8183327,Strada 31 August 1989
451,47.0277864,28.8188715,Strada Mitropolit Petru Movilă
452,47.0264394,28.8208988,Strada Serghei Lazo
453,47.0324904,28.8295551,Strada Serghei Lazo
454,47.0328029,28.8306094,Strada Sfântul Andrei
455,47.0227487,28.8182137,Strada Sfatul Țării
456,47.0254842,28.8223094,Strada Sfatul Țării
457,47.0264609,28.8237337,Strada 31 August 1989
458,47.0313772,28.8311748,Strada Alexandru cel Bun
459,47.0321582,28.8322117,Strada Sfântul Andrei
460,47.0245364,28.8237353,Strada Maria Cebotari
461,47.0254904,28.8251758,Strada Maria Cebotari
462,47.0264155,28.8265530,Strada Maria Cebotari
463,47.0297614,28.8216889,Strada Anatol Corobceanu
464,47.0283920,28.8237023,Strada Anatol Corobceanu
465,47.0273850,28.8251727,Strada Anatol Corobceanu
466,47.0235359,28.8252570,Strada Nicolae Iorga
467,47.0287407,28.8328282,Strada Tricolorului
468,47.0163850,28.8544088,Bulevardul Dimitrie Cantemir
469,47.0182549,28.8528709,Bulevardul Dimitrie Cantemir
470,47.0218943,28.8478962,Strada Avram Iancu
471,47.0245104,28.8501772,Strada Grigore Ureche
472,47.0256045,28.8490077,Strada Ioan Botezătorul
473,47.0268072,28.8479798,Strada Grigore Ureche
474,47.0216318,28.8469071,Strada Cojocarilor
475,47.0239100,28.8424756,Strada Vasile Alecsandri
476,47.0248321,28.8410237,Strada Mihai Eminescu
477,47.0266569,28.8381616,Strada Alexandr Pușkin
478,47.0276013,28.8367669,Strada Eugen Doga
479,47.0285768,28.8353054,Strada Mitropolit Gavriil Bănulescu-Bodoni
480,47.0304474,28.8325469,Strada Alexandru cel Bun
481,47.0286371,28.8382961,Strada Eugen Doga
482,47.0299497,28.8399185,Strada Ierusalim
483,47.0289120,28.8414544,Strada Ierusalim
484,47.0321150,28.8394155,Strada Ion Pruncul
485,47.0372427,28.8409135,Strada Albișoara
486,47.0377940,28.8412745,Strada Petru Rareș
487,47.0399317,28.8419601,
488,47.0392518,28.8271476,Strada Mihai Viteazul
489,47.0277511,28.8441576,Strada Alexandru Hâjdeu
490,47.0270046,28.8453077,Strada Alexandru Hâjdeu
491,47.0263717,28.8459894,Strada Alexandru Hâjdeu
492,47.0259886,28.8464020,Strada Cojocarilor
493,47.0249662,28.8475991,Strada Ioan Botezătorul
494,47.0240292,28.8487764,Strada Titu Maiorescu
495,47.0215821,28.8516857,Strada Sfântul Petru
496,47.0258721,28.8463401,Strada Cojocarilor
497,47.0232472,28.8466727,Strada Cojocarilor
498,47.0229985,28.8466883,Strada Cojocarilor
499,47.0229186,28.8466933,Strada Junimea
500,47.0265664,28.8408356,Strada Constantin Tănase
501,47.0318059,28.8482624,Strada Alexandr Pușkin
502,47.0176399,28.8253455,Strada Alexandr Pușkin
503,47.0166554,28.8268711,Strada Alessandro Bernardazzi
504,47.0149022,28.8295776,Strada Alessandro Bernardazzi
505,47.0244733,28.8293833,Piața Marea Adunare Națională
506,47.0251580,28.8427608,Strada Alexandru Vlăhuță
507,47.0246378,28.8434878,Strada Octavian Goga
508,47.0226617,28.8487395,Strada Junimea
509,47.0534320,28.8510675,Strada Ceucari
510,47.0531776,28.8511687,Strada Ceucari
511,47.0136625,28.8280515,Strada Vasile Alecsandri
512,47.0095705,28.8279578,Strada Vasile Alecsandri
513,47.0086752,28.8275521,Strada Vasile Alecsandri
514,47.0080271,28.8271316,Strada Vasile Alecsandri
515,47.0099065,28.8348244,Strada Alexei Mateevici
516,47.0118205,28.8318973,Strada Bulgară
517,47.0139966,28.8310242,Strada Armenească
518,47.0168716,28.8351560,Strada Armenească
519,47.0542216,28.8501077,Strada Ceucari
520,47.0438011,28.8517188,Bulevardul Renașterii Naționale
521,47.0617558,28.8459423,Strada Ceucari
522,47.0492026,28.8708840,Strada Miron Costin
523,47.0543315,28.8729302,Strada Nicolae Dimo
524,47.0552721,28.8731987,Strada Nicolae Dimo
525,47.0571623,28.8734838,Strada Nicolae Dimo
526,47.0581008,28.8735210,Strada Nicolae Dimo
527,47.0599584,28.8734228,Strada Nicolae Dimo
528,47.0592276,28.8683661,Strada Studenților
529,47.0399405,28.8595770,Strada Kiev
530,47.0401491,28.8596617,Strada Kiev
531,47.0422597,28.8605225,Strada Kiev
532,47.0428592,28.8607631,Strada Kiev
533,47.0495627,28.8633693,Strada Miron Costin
534,47.0247184,28.8161271,Strada Constantin Stere
535,47.0336469,28.7973253,Strada Vissarion Belinski
536,47.0331330,28.7980250,Strada Vissarion Belinski
537,47.0323484,28.7990490,Strada Ion Neculce
538,47.0317142,28.7998760,Strada Ioan Livescu
539,47.0313019,28.8004213,Strada Dominte Timonu
540,47.0305082,28.8014563,Strada Vissarion Belinski
541,47.0301600,28.8018164,Strada Vissarion Belinski
542,47.0224284,28.8036936,Strada Vissarion Belinski
543,47.0350502,28.7945032,Strada 27 Martie 1918
544,47.0552218,28.8655326,Strada Matei Basarab
545,47.0605528,28.8607428,Strada Studenților
546,47.0408433,28.8434892,
547,47.0222490,28.8096057,Strada Vasile Lupu
548,47.0529760,28.8508979,Strada Ceucari
549,47.0432033,28.8536518,
550,47.0432572,28.8536046,
551,47.0433078,28.8535183,
552,47.0433523,28.8532570,Bulevardul Renașterii Naționale
553,47.0282579,28.8452885,Strada Cahul
554,47.0291220,28.8452958,Strada Alexandru Vlăhuță
555,47.0287088,28.8435245,Strada Cahul
556,47.0614875,28.8439764,Strada Iazului
557,47.0296595,28.8447747,Strada Alexandr Pușkin
